OBJECTID,FIPS,COUNTY,TOPIC,YEAR,AGE,COUNTS,AADJ_RATE,LOWR_LIM,UPPR_LIM,STD_ERR,ST_RATE,ST_LOWR_LIM,ST_UPPR_LIM,NAME
19369,55001,Adams,Female Breast,1999-2003,All Ages,110,74.5,60.8,90.7,7.3,73.3,72.3,74.4,Adams
19370,55001,Adams,Female Breast,2000-2004,All Ages,102,66.2,53.6,81.3,6.7,70.9,69.9,71.9,Adams
19371,55001,Adams,Female Breast,2001-2005,All Ages,96,62.4,50.2,77.1,6.5,68.9,68,69.9,Adams
19372,55001,Adams,Female Breast,2002-2006,All Ages,94,60.2,48.3,74.6,6.4,67.1,66.1,68,Adams
19373,55001,Adams,Female Breast,2003-2007,All Ages,81,52.1,41,65.7,6,66.4,65.5,67.4,Adams
19374,55001,Adams,Female Breast,2004-2008,All Ages,78,48.9,38.3,61.9,5.7,66.4,65.5,67.3,Adams
19375,55001,Adams,Female Breast,2005-2009,All Ages,81,50,39.3,63.2,5.8,67.2,66.2,68.1,Adams
19376,55001,Adams,Female Breast,2006-2010,All Ages,87,53.4,42.3,67,6,67,66.1,67.9,Adams
19377,55001,Adams,Female Breast,2007-2011,All Ages,97,58.8,47.1,73,6.3,67.5,66.6,68.4,Adams
19378,55001,Adams,Female Breast,2008-2012,All Ages,105,62.4,50.5,77,6.4,67.9,66.9,68.8,Adams
19379,55001,Adams,Female Breast,2009-2013,All Ages,105,61.9,49.9,76.4,6.4,68.4,67.5,69.3,Adams
19380,55001,Adams,Female Breast,2010-2014,All Ages,109,63.9,51.5,78.9,6.6,68.5,67.6,69.4,Adams
19381,55001,Adams,Female Breast,2011-2015,All Ages,102,59.5,47.4,74.4,6.5,69.2,68.3,70.1,Adams
19382,55001,Adams,Female Breast,2012-2016,All Ages,98,55.7,44.1,70,6.3,69.3,68.4,70.3,Adams
19383,55001,Adams,Female Breast,2013-2017,All Ages,107,58.9,47.1,73.4,6.3,69.7,68.8,70.6,Adams
19384,55001,Adams,Female Breast,2014-2018,All Ages,119,66.7,53.7,82.6,7,70.1,69.2,71,Adams
19385,55001,Adams,Female Breast,2015-2019,All Ages,123,69.7,56.1,86.1,7.3,71,70.1,71.9,Adams
19386,55001,Adams,Female Breast,2016-2020,All Ages,124,70.1,56.5,86.5,7.3,70.2,69.3,71.1,Adams
19729,55003,Ashland,Female Breast,1999-2003,All Ages,51,55.3,41.1,73,7.8,73.3,72.3,74.4,Ashland
19730,55003,Ashland,Female Breast,2000-2004,All Ages,54,59.5,44.6,77.9,8.2,70.9,69.9,71.9,Ashland
19731,55003,Ashland,Female Breast,2001-2005,All Ages,48,52.1,38.3,69.4,7.6,68.9,68,69.9,Ashland
19732,55003,Ashland,Female Breast,2002-2006,All Ages,57,60.4,45.6,78.6,8.1,67.1,66.1,68,Ashland
19733,55003,Ashland,Female Breast,2003-2007,All Ages,62,66.3,50.6,85.3,8.5,66.4,65.5,67.4,Ashland
19734,55003,Ashland,Female Breast,2004-2008,All Ages,68,71.7,55.5,91.3,8.8,66.4,65.5,67.3,Ashland
19735,55003,Ashland,Female Breast,2005-2009,All Ages,66,69.9,53.8,89.4,8.7,67.2,66.2,68.1,Ashland
19736,55003,Ashland,Female Breast,2006-2010,All Ages,70,73.8,57.1,93.9,9,67,66.1,67.9,Ashland
19737,55003,Ashland,Female Breast,2007-2011,All Ages,62,66.3,50.4,85.8,8.7,67.5,66.6,68.4,Ashland
19738,55003,Ashland,Female Breast,2008-2012,All Ages,57,59.4,44.5,77.9,8.2,67.9,66.9,68.8,Ashland
19739,55003,Ashland,Female Breast,2009-2013,All Ages,52,56.7,41.7,75.5,8.3,68.4,67.5,69.3,Ashland
19740,55003,Ashland,Female Breast,2010-2014,All Ages,56,59.7,44.4,78.8,8.4,68.5,67.6,69.4,Ashland
