parentGeographicTypeId,temporalTypeId,temporal,temporalDescription,temporalColumnName,temporalRollingColumnName,temporalId,minimumTemporal,minimumTemporalId,parentTemporalTypeId,parentTemporalType,parentTemporal,parentTemporalId,parentMinimumTemporalId,parentMinimumTemporal,year,dataValue,descriptiveValue,descriptiveValueName,includeDescriptiveValueName,COUNT,OBJECTID,FIPS,COUNTY,NAME
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.156,,,,0.156,87427,55001,Adams,Adams
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.384,,,,0.384,42915,55001,Adams,Adams
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.399,,,,0.399,82387,55001,Adams,Adams
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.445,,,,0.445,49952,55001,Adams,Adams
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.479,,,,0.479,60429,55001,Adams,Adams
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.687,,,,0.687,87487,55003,Ashland,Ashland
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.688,,,,0.688,42975,55003,Ashland,Ashland
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.668,,,,0.668,64750,55003,Ashland,Ashland
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.627,,,,0.627,31533,55003,Ashland,Ashland
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.284,,,,0.284,60489,55003,Ashland,Ashland
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.383,,,,0.383,87547,55005,Barron,Barron
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.354,,,,0.354,43035,55005,Barron,Barron
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.322,,,,0.322,64810,55005,Barron,Barron
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.575,,,,0.575,59530,55005,Barron,Barron
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.416,,,,0.416,60549,55005,Barron,Barron
