parentGeographicTypeId,temporalTypeId,temporal,temporalDescription,temporalColumnName,temporalRollingColumnName,temporalId,minimumTemporal,minimumTemporalId,parentTemporalTypeId,parentTemporalType,parentTemporal,parentTemporalId,parentMinimumTemporalId,parentMinimumTemporal,year,dataValue,descriptiveValue,descriptiveValueName,includeDescriptiveValueName,COUNT,OBJECTID,FIPS,COUNTY,NAME
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.525,,,,0.525,113981,55001,Adams,Adams
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.458,,,,0.458,90098,55001,Adams,Adams
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.459,,,,0.459,108941,55001,Adams,Adams
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.627,,,,0.627,52165,55001,Adams,Adams
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.645,,,,0.645,105062,55001,Adams,Adams
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.746,,,,0.746,114041,55003,Ashland,Ashland
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.890,,,,0.89,90158,55003,Ashland,Ashland
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.847,,,,0.847,114000,55003,Ashland,Ashland
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.789,,,,0.789,126005,55003,Ashland,Ashland
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.715,,,,0.715,105122,55003,Ashland,Ashland
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.324,,,,0.324,114101,55005,Barron,Barron
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.297,,,,0.297,90218,55005,Barron,Barron
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.324,,,,0.324,114060,55005,Barron,Barron
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.531,,,,0.531,85322,55005,Barron,Barron
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.430,,,,0.43,105182,55005,Barron,Barron
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.117,,,,0.117,114161,55007,Bayfield,Bayfield
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.088,,,,0.088,90278,55007,Bayfield,Bayfield
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.115,,,,0.115,109001,55007,Bayfield,Bayfield
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.073,,,,0.073,52225,55007,Bayfield,Bayfield
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.089,,,,0.089,105242,55007,Bayfield,Bayfield
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.523,,,,0.523,114221,55009,Brown,Brown
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.617,,,,0.617,90338,55009,Brown,Brown
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.629,,,,0.629,109061,55009,Brown,Brown
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.548,,,,0.548,85382,55009,Brown,Brown
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.546,,,,0.546,105302,55009,Brown,Brown
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.172,,,,0.172,69293,55011,Buffalo,Buffalo
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.221,,,,0.221,90398,55011,Buffalo,Buffalo
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.086,,,,0.086,114120,55011,Buffalo,Buffalo
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.084,,,,0.084,85442,55011,Buffalo,Buffalo
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.068,,,,0.068,105362,55011,Buffalo,Buffalo
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.096,,,,0.096,69353,55013,Burnett,Burnett
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.145,,,,0.145,90458,55013,Burnett,Burnett
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.047,,,,0.047,109121,55013,Burnett,Burnett
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.046,,,,0.046,52285,55013,Burnett,Burnett
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.068,,,,0.068,105422,55013,Burnett,Burnett
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.032,,,,0.032,69413,55015,Calumet,Calumet
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.025,,,,0.025,90518,55015,Calumet,Calumet
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.022,,,,0.022,114180,55015,Calumet,Calumet
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.039,,,,0.039,85502,55015,Calumet,Calumet
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.026,,,,0.026,105482,55015,Calumet,Calumet
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.379,,,,0.379,69473,55017,Chippewa,Chippewa
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.567,,,,0.567,90578,55017,Chippewa,Chippewa
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.469,,,,0.469,114240,55017,Chippewa,Chippewa
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.454,,,,0.454,85562,55017,Chippewa,Chippewa
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.295,,,,0.295,20620,55017,Chippewa,Chippewa
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.680,,,,0.68,69533,55019,Clark,Clark
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.780,,,,0.78,90638,55019,Clark,Clark
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.828,,,,0.828,109181,55019,Clark,Clark
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.770,,,,0.77,145987,55019,Clark,Clark
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.754,,,,0.754,20680,55019,Clark,Clark
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.235,,,,0.235,69593,55021,Columbia,Columbia
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.263,,,,0.263,90698,55021,Columbia,Columbia
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.256,,,,0.256,114300,55021,Columbia,Columbia
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.334,,,,0.334,85622,55021,Columbia,Columbia
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.251,,,,0.251,20740,55021,Columbia,Columbia
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.805,,,,0.805,69653,55023,Crawford,Crawford
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.833,,,,0.833,90758,55023,Crawford,Crawford
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.823,,,,0.823,92110,55023,Crawford,Crawford
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.752,,,,0.752,65625,55023,Crawford,Crawford
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.750,,,,0.75,17620,55023,Crawford,Crawford
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.680,,,,0.68,69713,55025,Dane,Dane
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.726,,,,0.726,90818,55025,Dane,Dane
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.726,,,,0.726,109241,55025,Dane,Dane
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.655,,,,0.655,63356,55025,Dane,Dane
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.671,,,,0.671,17680,55025,Dane,Dane
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.462,,,,0.462,69773,55027,Dodge,Dodge
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.421,,,,0.421,26592,55027,Dodge,Dodge
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.471,,,,0.471,92170,55027,Dodge,Dodge
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.472,,,,0.472,65685,55027,Dodge,Dodge
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.454,,,,0.454,17740,55027,Dodge,Dodge
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.098,,,,0.098,69833,55029,Door,Door
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.142,,,,0.142,26652,55029,Door,Door
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.095,,,,0.095,109301,55029,Door,Door
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.130,,,,0.13,63416,55029,Door,Door
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.176,,,,0.176,17800,55029,Door,Door
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.474,,,,0.474,69893,55031,Douglas,Douglas
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.765,,,,0.765,26712,55031,Douglas,Douglas
