parentGeographicTypeId,temporalTypeId,temporal,temporalDescription,temporalColumnName,temporalRollingColumnName,temporalId,minimumTemporal,minimumTemporalId,parentTemporalTypeId,parentTemporalType,parentTemporal,parentTemporalId,parentMinimumTemporalId,parentMinimumTemporal,year,dataValue,descriptiveValue,descriptiveValueName,includeDescriptiveValueName,COUNT,OBJECTID,FIPS,COUNTY,NAME
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.357,,,,0.357,102609,55001,Adams,Adams
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.393,,,,0.393,114232,55001,Adams,Adams
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.423,,,,0.423,97569,55001,Adams,Adams
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.386,,,,0.386,23718,55001,Adams,Adams
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.322,,,,0.322,54889,55001,Adams,Adams
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.336,,,,0.336,102669,55003,Ashland,Ashland
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.317,,,,0.317,114292,55003,Ashland,Ashland
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.281,,,,0.281,55143,55003,Ashland,Ashland
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.281,,,,0.281,35164,55003,Ashland,Ashland
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.514,,,,0.514,54949,55003,Ashland,Ashland
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.304,,,,0.304,102729,55005,Barron,Barron
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.387,,,,0.387,114352,55005,Barron,Barron
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.355,,,,0.355,55203,55005,Barron,Barron
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.297,,,,0.297,53063,55005,Barron,Barron
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.212,,,,0.212,55009,55005,Barron,Barron
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.283,,,,0.283,102789,55007,Bayfield,Bayfield
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.365,,,,0.365,114412,55007,Bayfield,Bayfield
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.284,,,,0.284,97629,55007,Bayfield,Bayfield
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.296,,,,0.296,23778,55007,Bayfield,Bayfield
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.470,,,,0.47,55069,55007,Bayfield,Bayfield
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.696,,,,0.696,102849,55009,Brown,Brown
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.690,,,,0.69,114472,55009,Brown,Brown
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.699,,,,0.699,97689,55009,Brown,Brown
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.730,,,,0.73,53123,55009,Brown,Brown
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.546,,,,0.546,55129,55009,Brown,Brown
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.322,,,,0.322,78271,55011,Buffalo,Buffalo
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.299,,,,0.299,114532,55011,Buffalo,Buffalo
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.298,,,,0.298,55263,55011,Buffalo,Buffalo
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.294,,,,0.294,53183,55011,Buffalo,Buffalo
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.064,,,,0.064,55189,55011,Buffalo,Buffalo
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.289,,,,0.289,78331,55013,Burnett,Burnett
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.293,,,,0.293,114592,55013,Burnett,Burnett
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.257,,,,0.257,97749,55013,Burnett,Burnett
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.222,,,,0.222,23838,55013,Burnett,Burnett
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.310,,,,0.31,55249,55013,Burnett,Burnett
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.478,,,,0.478,78391,55015,Calumet,Calumet
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.505,,,,0.505,114652,55015,Calumet,Calumet
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.466,,,,0.466,55323,55015,Calumet,Calumet
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.380,,,,0.38,53243,55015,Calumet,Calumet
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.308,,,,0.308,55309,55015,Calumet,Calumet
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.335,,,,0.335,78451,55017,Chippewa,Chippewa
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.245,,,,0.245,114712,55017,Chippewa,Chippewa
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.203,,,,0.203,55383,55017,Chippewa,Chippewa
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.265,,,,0.265,53303,55017,Chippewa,Chippewa
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.190,,,,0.19,64216,55017,Chippewa,Chippewa
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.387,,,,0.387,78511,55019,Clark,Clark
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.360,,,,0.36,114772,55019,Clark,Clark
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.458,,,,0.458,97809,55019,Clark,Clark
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.522,,,,0.522,63154,55019,Clark,Clark
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.234,,,,0.234,64276,55019,Clark,Clark
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.323,,,,0.323,78571,55021,Columbia,Columbia
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.287,,,,0.287,114832,55021,Columbia,Columbia
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.360,,,,0.36,55443,55021,Columbia,Columbia
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.362,,,,0.362,53363,55021,Columbia,Columbia
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.241,,,,0.241,64336,55021,Columbia,Columbia
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.101,,,,0.101,78631,55023,Crawford,Crawford
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.184,,,,0.184,114892,55023,Crawford,Crawford
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.277,,,,0.277,88494,55023,Crawford,Crawford
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.291,,,,0.291,35963,55023,Crawford,Crawford
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.144,,,,0.144,61216,55023,Crawford,Crawford
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.681,,,,0.681,78691,55025,Dane,Dane
1,1,2014,Single Year,ReportYear,RollingYearCount,2014,,,,,,,,,2014,0.691,,,,0.691,114952,55025,Dane,Dane
1,1,2016,Single Year,ReportYear,RollingYearCount,2016,,,,,,,,,2016,0.691,,,,0.691,97869,55025,Dane,Dane
1,1,2018,Single Year,ReportYear,RollingYearCount,2018,,,,,,,,,2018,0.670,,,,0.67,100541,55025,Dane,Dane
1,1,2020,Single Year,ReportYear,RollingYearCount,2020,,,,,,,,,2020,0.569,,,,0.569,61276,55025,Dane,Dane
1,1,2010,Single Year,ReportYear,RollingYearCount,2010,,,,,,,,,2010,0.436,,,,0.436,78751,55027,Dodge,Dodge
